Date,Close,High,Low,Open,Volume
01-01-1992,3223.399902,3299.189941,3139.310059,3152.100098,561160000
01-02-1992,3267.699951,3293.379883,3207.959961,3223.399902,411150000
01-03-1992,3235.5,3299.639893,3188.280029,3267.699951,402410000
01-04-1992,3359.100098,3366.5,3161.22998,3235.5,458300000
01-05-1992,3396.899902,3440.669922,3324.02002,3359.100098,388240000
01-06-1992,3318.5,3422.280029,3254.050049,3396.899902,475360000
01-07-1992,3393.800049,3402.959961,3266.530029,3318.800049,449770000
01-08-1992,3257.399902,3399.98999,3207.100098,3393.800049,363380000
01-09-1992,3271.699951,3376.48999,3242.76001,3257.399902,436570000
01-10-1992,3226.300049,3280.850098,3095.790039,3271.699951,530760000
01-11-1992,3305.199951,3308.409912,3184.669922,3226.300049,452340000
01-12-1992,3301.110107,3352.709961,3248.159912,3305.199951,510650000
01-01-1993,3310,3320.830078,3231.949951,3301.100098,620010000
01-02-1993,3370.810059,3456.72998,3266.800049,3310,577510000
01-03-1993,3435.110107,3482.120117,3343.26001,3370.800049,586100000
01-04-1993,3427.550049,3481.580078,3363.790039,3435.100098,645990000
01-05-1993,3527.429932,3565.070068,3415.330078,3439.399902,472660000
01-06-1993,3516.080078,3569.780029,3462.659912,3527.399902,461140000
01-07-1993,3539.469971,3583.5,3449.899902,3516.100098,500980000
01-08-1993,3651.25,3663.830078,3536.959961,3539.5,526610000
01-09-1993,3555.120117,3655.719971,3507.060059,3651.300049,487790000
01-10-1993,3680.590088,3708.820068,3553.719971,3555.100098,529130000
01-11-1993,3683.949951,3717.76001,3600.669922,3680.600098,576680000
01-12-1993,3754.090088,3799.919922,3685.060059,3685.100098,517250000
01-01-1994,3978.360107,3985.959961,3742.810059,3754.100098,619530000
01-02-1994,3832.02002,3982.02002,3632.02002,3978.399902,508560000
01-03-1994,3635.959961,3895.939941,3559.090088,3832,667490000
01-04-1994,3681.689941,3710.840088,3552.469971,3634.5,566680000
01-05-1994,3758.370117,3772.790039,3623.100098,3681.699951,533470000
01-06-1994,3624.959961,3823.389893,3610.399902,3758.399902,554560000
01-07-1994,3764.5,3770,3623.02002,3625,450610000
01-08-1994,3913.419922,3939.320068,3736.330078,3764.5,625170000
01-09-1994,3843.189941,3992.639893,3820.310059,3913.100098,591450000
01-10-1994,3908.120117,3949.840088,3747.969971,3843.199951,636250000
01-11-1994,3739.22998,3907.780029,3638.629883,3907.780029,613270000
01-12-1994,3834.439941,3866.399902,3655.110107,3739.199951,543610000
01-01-1995,3843.860107,3936.719971,3817.26001,3834.399902,615760000
01-02-1995,4011.050049,4021.22998,3831.409912,3843.899902,576090000
01-03-1995,4157.689941,4198.839844,3945.689941,4011.100098,702540000
01-04-1995,4321.27002,4328.529785,4155.959961,4157.700195,547570000
01-05-1995,4465.140137,4465.140137,4301.560059,4321.299805,689940000
01-06-1995,4556.100098,4593.100098,4406.689941,4465.100098,641520000
01-07-1995,4708.470215,4747.209961,4551.25,4556.100098,665580000
01-08-1995,4610.560059,4754.959961,4570.850098,4708.5,623030000
01-09-1995,4789.080078,4816.540039,4607.029785,4610.200195,707190000
01-10-1995,4755.47998,4816.899902,4659.740234,4789.799805,685570000
01-11-1995,5074.490234,5118.930176,4744.640137,4753.700195,598970000
01-12-1995,5117.120117,5235.620117,5051.72998,5075.600098,601160000
01-01-1996,5395.299805,5408.669922,5014.52002,5115.700195,851030000
01-02-1996,5485.620117,5659.399902,5348.339844,5394.899902,769130000
01-03-1996,5587.140137,5709.970215,5424.200195,5488.200195,831070000
01-04-1996,5569.080078,5697.689941,5415.529785,5588.600098,756530000
01-05-1996,5643.180176,5796.100098,5342.200195,5567.600098,801900000
01-06-1996,5654.629883,5742.540039,5580.379883,5643.899902,647790000
01-07-1996,5528.910156,5733.310059,5182.319824,5654.600098,781850000
01-08-1996,5616.209961,5739.02002,5524.100098,5528.899902,615820000
01-09-1996,5882.169922,5929.890137,5561.459961,5611.799805,649320000
01-10-1996,6029.379883,6133.72998,5861.669922,5878.399902,766260000
01-11-1996,6521.700195,6589.529785,5998.819824,6027.100098,741560000
01-12-1996,6448.27002,6587.049805,6236.049805,6520.600098,781180000
01-01-1997,6813.089844,6906.600098,6352.830078,6447.5,1003920000
01-02-1997,6877.740234,7073.620117,6710.720215,6810.799805,765900000
01-03-1997,6583.47998,7112.100098,6561.200195,6874.299805,962230000
01-04-1997,7009,7057.549805,6356.779785,6583.5,1098930000
01-05-1997,7331,7394.950195,6913.470215,7008.990234,1046600000
01-06-1997,7672.799805,7834.060059,7253.779785,7331,1086740000
