Date,Close,High,Low,Open,Volume
01-01-1985,278.7000122,278.8999939,245.8000031,247.1000061,1782060000
01-02-1985,284.2000122,289.2999878,277.8999939,277.8999939,1742850000
01-03-1985,279.2000122,287.7999878,275.6000061,285.1000061,1611310000
01-04-1985,280.6000061,284.7999878,276.2000122,279.5,1506450000
01-05-1985,290.7999878,294.7999878,278.7999878,280.5,1673270000
01-06-1985,296.2000122,296.2000122,286.7000122,291.3999939,1582580000
01-07-1985,301.2999878,307.8999939,295.5,295.8999939,1769440000
01-08-1985,297.7000122,304.6000061,295.1000061,302.6000061,1636000000
01-09-1985,280.2999878,297.7000122,279.5,297.2999878,1334990000
01-10-1985,292.5,292.7999878,276.6000061,280.6000061,1858340000
01-11-1985,314,314,292.5,293,1840880000
01-12-1985,324.8999939,325.6000061,312.2999878,313.8999939,2212020000
01-01-1986,335.7999878,335.7999878,322.1000061,325,2410850000
01-02-1986,359.5,359.7999878,335.7999878,336.1000061,2345500000
01-03-1986,374.7000122,374.7000122,359.1000061,360,2595900000
01-04-1986,383.2000122,393,368,375.7999878,2814600000
01-05-1986,400.2000122,400.3999939,381.5,383.2000122,2412320000
01-06-1986,405.5,405.5,391.7999878,400.7000122,2569400000
01-07-1986,371.3999939,411.2999878,369.1000061,407,2411040000
01-08-1986,382.8999939,383.2000122,364.3999939,372.5,2101540000
01-09-1986,350.7000122,384,342.2999878,382.7999878,2203180000
01-10-1986,360.7999878,361.6000061,351.2000122,352.5,2152890000
01-11-1986,359.6000061,362.5,349.1000061,361,2074770000
01-12-1986,348.7999878,364.7000122,347,357.3999939,2608890000
01-01-1987,392.1000061,396.2000122,348.7999878,351.2999878,3184620000
01-02-1987,425,425,392,393.7999878,3029700000
01-03-1987,430.1000061,440,422.8999939,425,3305000000
01-04-1987,417.7999878,439.2000122,407.3999939,426.2999878,3027000000
01-05-1987,416.5,424.7999878,404.5,418.6000061,2783700000
01-06-1987,424.7000122,429.8999939,413.5,415.5,3274900000
01-07-1987,434.8999939,434.8999939,423.7000122,424.5,3379500000
01-08-1987,455,455.7999878,431.2000122,433.2999878,3136000000
01-09-1987,444.2999878,456.2999878,434.8999939,455.5,3092900000
01-10-1987,323.2999878,453.7000122,288.5,446.2000122,4074200000
01-11-1987,305.2000122,328.7999878,301.6000061,325.3999939,2497350000
01-12-1987,330.5,333.2000122,291.8999939,306.3999939,2943710000
01-01-1988,344.7000122,349.7000122,329,335.1000061,2465240000
01-02-1988,367,367,343.5,346.2000122,2492870000
01-03-1988,374.6000061,382.6000061,366.7000122,367.3999939,3154880000
01-04-1988,379.2000122,384.2999878,369.7999878,373.7000122,2502240000
01-05-1988,370.2999878,383.1000061,362.3999939,379,2467340000
01-06-1988,394.7000122,394.7999878,372.7000122,372.7000122,3096040000
01-07-1988,387.2999878,397.5,382.1000061,394.2000122,2609630000
01-08-1988,376.6000061,389.5,372.2000122,387.6000061,2590980000
01-09-1988,387.7000122,388.3999939,372.2000122,374.2000122,2344120000
01-10-1988,382.5,388.8999939,380.7000122,384.7000122,2496530000
01-11-1988,371.5,383.1000061,364,382.7000122,2285850000
01-12-1988,381.3999939,381.3999939,371.2000122,372.1000061,2486740000
