Date,Close,High,Low,Open,Volume
01-05-1990,33130.80078,33227.94141,29519.25,29593.58008,0
01-06-1990,31940.24023,33344.92188,31086.33984,33110.37109,0
01-07-1990,31035.66016,33186.80078,30296.55078,31924.0293,0
01-08-1990,25978.36914,31371.5293,23547.26953,31086.14063,0
01-09-1990,20983.5,26163.49023,20671.00977,26014.13086,0
01-10-1990,25194.09961,25485.84961,19781.69922,20986.07031,0
01-11-1990,22454.63086,25159.94922,21933.99023,25159.94922,0
01-12-1990,23848.71094,25063.85938,21626.64063,22456.86914,0
01-01-1991,23293.14063,24109.89063,22099.51953,23827.48047,0
01-02-1991,26409.2207,26709.80078,22859.65039,23270.63086,0
01-03-1991,26292.03906,27270.33008,25785.9707,26389.25,0
01-04-1991,26111.25,27092.01953,25913.59961,26237.78906,0
01-05-1991,25789.61914,26648.58008,25227.64063,26193.60938,0
01-06-1991,23290.96094,26017.16016,23214.57031,25840.91016,0
01-07-1991,24120.75,24322.43945,21731.15039,23376.5293,0
01-08-1991,22335.86914,24084.31055,21309.48047,24074.31055,0
01-09-1991,23916.43945,24157.60938,22175.05078,22328.84961,0
01-10-1991,25222.2793,25254.80078,23860.66992,23909.75,0
01-11-1991,22687.34961,25167.13086,22538.33008,25167.13086,0
01-12-1991,22983.76953,23022.34961,21123.90039,22645.51953,0
01-01-1992,22023.05078,23901.89063,20638.03906,23030.66016,0
01-02-1992,21338.81055,22373.08008,20485.7207,22075.85938,0
01-03-1992,19345.94922,21550.85938,19343.33984,21348.13086,0
01-04-1992,17390.71094,19325.4707,16572.46094,19325.4707,0
01-05-1992,18347.75,19003.60938,17273.38086,17374.94922,0
01-06-1992,15951.73047,18502.60938,15641.61035,18327.67969,0
01-07-1992,15910.28027,17274.49023,15024.58984,15960.55957,0
01-08-1992,18061.11914,18168.81055,14194.40039,15902.75,0
01-09-1992,17399.08008,19284.11914,17396.42969,18058.10938,0
01-10-1992,16767.40039,17714.03906,16675.23047,17422.4707,0
01-11-1992,17683.65039,17683.65039,15941.92969,16732.5,0
01-12-1992,16924.94922,17787.56055,16891.93945,17675.0293,0
01-01-1993,17023.7793,17177.68945,16216.11035,16980.23047,0
01-02-1993,16953.34961,17419.17969,16750.88086,17037.51953,0
01-03-1993,18591.44922,19126.38086,16721.48047,16956.46094,0
01-04-1993,20919.17969,20919.17969,18526.65039,18595.51953,0
01-05-1993,20552.34961,21224.7793,20122.7793,20939.46094,0
01-06-1993,19590,21222.76953,19039.55078,20531.86914,0
01-07-1993,20380.14063,20545.75,19545.44922,19638.78906,0
01-08-1993,21026.59961,21029.69922,20231.32031,20392.74023,0
01-09-1993,20105.71094,21281.0293,19927.68945,20964.09961,0
01-10-1993,19702.9707,20529.55078,19443.53906,20096.60938,0
01-11-1993,16406.53906,19656.9707,15671.96973,19656.9707,0
01-12-1993,17417.24023,18052.21094,16216.82031,16449.93945,0
01-01-1994,20229.11914,20229.11914,17242.32031,17421.64063,0
01-02-1994,19997.19922,20526.44922,18768.98047,20256.33008,0
01-03-1994,19111.91992,20781.98047,19082.82031,20052.60938,0
01-04-1994,19725.25,20494.59961,18896.48047,19161.63086,0
01-05-1994,20973.58984,21048.60938,19488.90039,19648.5293,0
01-06-1994,20643.92969,21573.21094,20168.5293,20988.90039,0
01-07-1994,20449.39063,20907.58008,19993.69922,20618.2207,0
01-08-1994,20628.5293,20875.7793,20271.34961,20422.17969,0
01-09-1994,19563.81055,20700.53906,19414.08008,20634.33008,0
01-10-1994,19989.59961,20176.64063,19487.69922,19579.7207,0
01-11-1994,19075.61914,19929.49023,18666.13086,19929.49023,0
01-12-1994,19723.06055,19833.2207,18822.56055,19061.21094,0
01-01-1995,18649.82031,19724.75977,17698.75,19724.75977,0
01-02-1995,17053.42969,18868.92969,16518.46094,18646.91992,0
01-03-1995,16139.9502,17161.88086,15424.11035,17017.91016,0
01-04-1995,16806.75,17110.40039,15256.05957,16079.63965,0
01-05-1995,15436.79004,17189.53906,15292.42969,16820.38086,0
01-06-1995,14517.40039,16015.92969,14376.08008,15480.57031,0
01-07-1995,16677.5293,17018.34961,14295.90039,14519.40039,0
01-08-1995,18117.2207,18299.71094,16274.33984,16644.74023,0
01-09-1995,17913.06055,18847.89063,17503.35938,18053.24023,0
01-10-1995,17654.64063,18547.42969,17337.18945,17921.38086,0
01-11-1995,18744.41992,18846.75,17408.92969,17622.66016,0
01-12-1995,19868.15039,20023.51953,18695.89063,18752.18945,0
01-01-1996,20812.74023,21021.63086,19945.67969,19945.67969,0
01-02-1996,20125.36914,21156.76953,19878.91016,20806.35938,0
01-03-1996,21406.84961,21486.33008,19627.57031,20093.7793,0
01-04-1996,22041.30078,22347.86914,21349.67969,21451.07031,0
01-05-1996,21956.18945,22311.28906,21170.7207,22030.75,0
01-06-1996,22530.75,22750.69922,21588.51953,21970.56055,0
01-07-1996,20692.83008,22600.08008,20627.60938,22568.42969,0
01-08-1996,20166.90039,21398.00977,20092.24023,20665.18945,0
01-09-1996,21556.40039,21603.91016,19920.01953,20186.59961,0
01-10-1996,20466.85938,21788.58008,20449.99023,21532.53906,0
01-11-1996,21020.35938,21460.57031,20388.09961,20498,0
01-12-1996,19361.34961,21067.67969,18819.91992,21034.93945,0
01-01-1997,18330.00977,19500.90039,17019.56055,19364.24023,0
01-02-1997,18557,19229.49023,17792.4707,18307.94922,0
01-03-1997,18003.40039,18750.25,17616.78906,18517.16992,0
01-04-1997,19151.11914,19194.82031,17447.64063,17934.78906,0
01-05-1997,20068.81055,20612.25977,19187.7207,19232.32031,0
01-06-1997,20604.96094,20910.78906,20040.69922,20083.50977,0
01-07-1997,20331.42969,20698.66992,19495.84961,20561.56055,0
01-08-1997,18229.41992,20399.14063,17973.90039,20344.63086,0
01-09-1997,17887.71094,18775.08008,17563.66016,18215.2207,0
01-10-1997,16458.93945,17936.85938,16082.32031,17820.38086,0
01-11-1997,16636.25977,17006.08984,14966.12988,16494.00977,0
01-12-1997,15258.74023,17117.7793,14488.20996,16593.50977,0
01-01-1998,16628.4707,17352.94922,14546.25,15268.92969,0
01-02-1998,16831.66992,17256.24023,15932.46973,16685.00977,0
01-03-1998,16527.16992,17352.34961,16178.21973,16901,0
01-04-1998,15641.25977,16623.7793,15334.46973,16433.36914,0
01-05-1998,15670.78027,15972.87988,15020.0498,15656.13965,0
01-06-1998,15830.26953,15830.46973,14614.74023,15670.73047,0
01-07-1998,16378.96973,16756.89063,15739.75977,15852.09961,0
01-08-1998,14107.88965,16303.59961,13792.75977,16303.59961,0
01-09-1998,13406.38965,15294.25977,13406.38965,13979.82031,0
01-10-1998,13564.50977,14742.44043,12787.90039,13377.24023,0
01-11-1998,14883.7002,15320.23047,13648.28027,13648.28027,0
01-12-1998,13842.16992,15011.08984,13657.03027,14821.53027,0
01-01-1999,14499.25,14628.87988,13122.61035,13779.0498,0
01-02-1999,14367.54004,14641.41016,13769.25,14544.12012,0
01-03-1999,15836.58984,16437.23047,13921.05957,14362.86035,0
01-04-1999,16701.5293,17166.06055,15813.41016,15868.0498,0
01-05-1999,16111.65039,17300.60938,15886.62012,16762.7793,0
01-06-1999,17529.74023,17958.33984,16026.9502,16090.15039,0
01-07-1999,17861.85938,18623.15039,17367.08008,17607.59961,0
01-08-1999,17436.56055,18397.92969,17040.7207,17827.24023,0
01-09-1999,17605.46094,17988.58984,16652.03906,17479.57031,0
01-10-1999,17942.08008,18228.39063,17178.4707,17589.73047,0
01-11-1999,18558.23047,19036.08008,17857.10938,17982.39063,0
